date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-12-24,1.0,0.9999999987204278,1.0000000014270227,46303774477
2024-12-25,1.0,0.9999999984431571,1.0000000016209236,46303774477
2024-12-26,1.0,0.9999999979910127,1.0000000019731115,46303774477
2024-12-27,1.0,0.999999997452985,1.0000000025888887,46303774477
2024-12-28,1.0,0.9999999957690129,1.0000000037958277,46303774477
2024-12-29,1.0,0.9999999944764109,1.0000000054348521,46303774477
2024-12-30,1.0,0.9999999926651267,1.0000000071950819,46303774477
2024-12-31,1.0,0.9999999904200407,1.0000000092034875,46303774477
2025-01-01,1.0,0.999999988750271,1.0000000115988523,46303774477
2025-01-02,1.0,0.9999999859503466,1.0000000141860486,46303774477
2025-01-03,1.0,0.9999999841815551,1.0000000164730627,46303774477
2025-01-04,1.0,0.9999999816998061,1.000000019236894,46303774477
2025-01-05,1.0,0.9999999785260996,1.0000000210874689,46303774477
2025-01-06,1.0,0.9999999763565408,1.000000024113364,46303774477
2025-01-07,1.0,0.9999999735298009,1.0000000275505607,46303774477
2025-01-08,1.0,0.9999999702635336,1.000000030800209,46303774477
2025-01-09,1.0,0.9999999661659289,1.0000000336469386,46303774477
2025-01-10,1.0,0.9999999625621644,1.0000000375681195,46303774477
2025-01-11,1.0,0.999999960072486,1.0000000410988525,46303774477
2025-01-12,1.0,0.9999999563537351,1.0000000453097393,46303774477
2025-01-13,1.0,0.9999999534187023,1.0000000479671693,46303774477
2025-01-14,1.0,0.999999950295356,1.0000000511955267,46303774477
2025-01-15,1.0,0.9999999470387647,1.0000000546701933,46303774477
2025-01-16,1.0,0.9999999439315873,1.0000000591748945,46303774477
2025-01-17,1.0,0.9999999393820342,1.0000000642098534,46303774477
2025-01-18,1.0,0.9999999359161691,1.000000067242291,46303774477
2025-01-19,1.0,0.9999999316597944,1.0000000714155564,46303774477
2025-01-20,1.0,0.9999999268102111,1.0000000760695098,46303774477
2025-03-04,1.9999996656589085,1.9999996656574093,1.9999996656603316,46303862950
2025-03-05,1.9999996656589087,1.9999996656573718,1.999999665660438,46303862950
2025-03-06,1.9999996656589092,1.9999996656572032,1.9999996656604888,46303862950
2025-03-07,1.9999996656589094,1.9999996656570507,1.9999996656606447,46303862950
2025-03-08,1.9999996656589096,1.999999665656834,1.999999665660947,46303862950
2025-03-09,1.99999966565891,1.999999665656459,1.9999996656615402,46303862950
2025-03-10,1.9999996656589103,1.9999928169121106,2.0000250909440496,46303862950
2025-03-11,1.9999996656589105,1.999955450968038,2.0000647558431486,46303862950
2025-03-12,1.9999996656589107,1.9999262162699134,2.0001281317935873,46303862950
2025-03-13,1.9999996656589112,1.9998657083484568,2.000192817056805,46303862950
2025-03-14,1.9999996656589114,1.999778866262041,2.0002737824732804,46303862950
2025-03-15,1.9999996656589116,1.9997177081498012,2.0003777969055725,46303862950
2025-03-16,1.9999996656589119,1.9996439481818786,2.000457731046923,46303862950
2025-03-17,1.9999996656589123,1.9995545458420143,2.000587914096313,46303862950
2025-03-18,1.9999996656589125,1.9994751893749934,2.000681446273973,46303862950
2025-03-19,1.9999996656589127,1.999339712253825,2.000792105111597,46303862950
2025-03-20,1.9999996656589132,1.9992295103247222,2.0009602704081177,46303862950
2025-03-21,1.9999996656589134,1.9991396700906325,2.0011535223312995,46303862950
2025-03-22,1.9999996656589136,1.9990451381232162,2.0013413245279734,46303862950
2025-03-23,1.9999996656589138,1.9989035896772507,2.0014885868550407,46303862950
2025-03-24,1.9999996656589143,1.9987288954065325,2.001606024785318,46303862950
2025-03-25,1.9999996656589145,1.9986307495338036,2.001743557693477,46303862950
2025-03-26,1.9999996656589147,1.9984692062411855,2.0019130759766215,46303862950
2025-03-27,1.999999665658915,1.9983658245383973,2.002175932645901,46303862950
2025-03-28,1.9999996656589154,1.998207877220545,2.0022997800341686,46303862950
2025-03-29,1.9999996656589156,1.99812878407806,2.0024820254170947,46303862950
2025-03-30,1.9999996656589158,1.9979846042345382,2.002576930959965,46303862950
2025-03-31,1.9999996656589163,1.99781728796306,2.002952115300504,46303862950
2025-03-04,5.434594712288742,1.1472162602001426,9.60488821141061,46303877432
2025-03-05,4.865590756422698,0.7765386694617975,8.608411667568276,46303877432
2025-03-06,4.296586800556639,0.17738328214663923,8.758239690332104,46303877432
2025-03-07,3.7275828446905948,-0.37162729623629853,7.967181037360914,46303877432
2025-03-08,3.1585788888245503,-0.9765607160721533,7.312969177492873,46303877432
2025-03-09,2.589574932958506,-1.7671982739479817,6.603954476385167,46303877432
2025-03-10,2.0205709770924614,-2.028242884169549,5.931016104901328,46303877432
2025-03-11,1.451567021226417,-2.730053251417476,5.73084025839241,46303877432
2025-03-12,0.8825630653603653,-3.2993591015307278,5.09361260881005,46303877432
2025-03-13,0.31355910949432086,-3.904976060245898,4.389604497945947,46303877432
2025-03-14,-0.2554448463717236,-4.248806306486179,4.152331843358069,46303877432
2025-03-15,-0.8244488022377681,-5.058244013048102,3.335018587269541,46303877432
2025-03-16,-1.3934527581038125,-5.787008943965913,2.6836812457630446,46303877432
2025-03-17,-1.962456713969857,-6.2141568867971335,2.1826986994718016,46303877432
2025-03-18,-2.5314606698359157,-6.737519702036966,1.7147401365019144,46303877432
2025-03-19,-3.10046462570196,-7.524605336680758,1.0752902537346798,46303877432
2025-03-20,-3.6694685815680046,-7.788272349293117,0.5794188103196175,46303877432
2025-03-21,-4.238472537434049,-8.313808128997666,-0.047175269727411796,46303877432
2025-03-22,-4.8074764933000935,-8.926930762261767,-0.9509890406245937,46303877432
